Region,7/1/10,7/1/11,7/1/12,7/1/13,7/1/14,7/1/15,7/1/16,7/1/17,7/1/18,7/1/19
"Corinth, MS","37,107","37,282","37,209","37,281","37,254","37,276","37,246","37,165","36,810","36,953"
"Cornelia, GA","43,061","43,043","43,377","43,154","43,564","43,792","44,104","44,535","45,373","45,328"
"Corning, NY","99,005","99,148","98,925","98,843","98,165","97,551","96,958","96,360","95,860","95,379"
"Corpus Christi, TX","404,676","407,721","413,199","419,080","423,313","427,621","428,953","428,445","428,697","429,024"
"Corsicana, TX","47,869","48,074","48,163","48,036","47,913","48,181","48,405","48,739","49,536","50,113"
"Cortland, NY","49,279","49,380","49,023","48,905","48,740","48,290","47,915","47,815","47,722","47,581"
"Corvallis, OR","85,574","86,266","86,678","86,167","87,215","88,333","89,918","91,790","92,442","93,053"
"Coshocton, OH","36,938","36,931","36,823","36,723","36,531","36,577","36,617","36,536","36,596","36,600"
"Craig, CO","13,794","13,423","13,171","13,126","12,934","12,939","13,144","13,088","13,183","13,283"
"Crawfordsville, IN","38,098","38,338","38,177","38,137","38,150","38,243","38,238","38,343","38,274","38,338"
"Crescent City, CA","28,566","28,443","28,190","27,816","27,175","27,190","27,382","27,351","27,740","27,812"
"Crestview-Fort Walton Beach-Destin, FL","235,932","238,704","246,952","251,881","255,801","260,814","265,492","271,499","277,666","284,809"
"Crossville, TN","56,193","56,527","56,990","57,438","57,924","58,217","58,580","59,023","59,738","60,520"
"Cullman, AL","80,456","80,410","80,279","80,690","81,068","81,761","82,450","82,867","83,418","83,768"
"Cullowhee, NC","54,374","54,247","54,689","54,978","55,158","55,631","56,812","57,487","57,849","58,209"
"Cumberland, MD-WV","103,170","102,629","101,833","101,267","100,587","99,879","99,428","98,575","97,894","97,284"
"Dallas-Fort Worth-Arlington, TX","6,392,065","6,510,544","6,644,559","6,753,889","6,889,769","7,042,566","7,194,758","7,337,097","7,455,756","7,573,136"
"Dalton, GA","142,278","142,285","142,259","141,906","142,298","143,099","143,753","144,037","144,192","144,724"
"Danville, IL","81,640","81,414","80,862","80,585","79,783","79,170","78,494","77,689","76,702","75,758"
"Danville, KY","53,398","53,521","53,424","54,070","54,239","54,124","54,347","54,467","54,694","54,609"
"Danville, VA","106,510","105,907","105,600","105,177","104,634","103,957","103,369","102,353","101,550","100,398"
"Daphne-Fairhope-Foley, AL","183,112","186,558","190,145","194,885","199,183","202,939","207,601","212,521","217,855","223,234"
"Davenport-Moline-Rock Island, IA-IL","379,743","380,685","382,431","383,843","384,070","383,381","382,178","381,103","380,044","379,172"
"Dayton, TN","31,858","32,082","32,367","32,529","32,623","32,373","32,474","32,671","32,911","33,167"
"Dayton-Kettering, OH","799,672","800,858","801,603","801,390","801,017","800,124","801,661","803,233","805,088","807,611"
"Decatur, AL","153,950","154,075","153,908","153,146","152,888","152,392","152,233","151,981","152,144","152,603"
"Decatur, IL","110,787","110,684","110,134","109,561","108,515","107,343","106,383","105,399","104,504","104,009"
"Decatur, IN","34,444","34,368","34,400","34,644","34,758","34,945","35,178","35,385","35,595","35,777"
"Defiance, OH","39,082","39,005","38,827","38,564","38,525","38,326","38,140","38,156","38,089","38,087"
"Del Rio, TX","48,971","48,972","48,976","49,044","48,845","48,891","48,911","49,028","48,988","49,025"
"Deltona-Daytona Beach-Ormond Beach, FL","590,506","591,926","594,969","600,236","608,604","621,166","635,859","647,867","658,186","668,365"
"Deming, NM","25,081","25,106","24,921","24,592","24,428","24,367","24,362","24,100","23,877","23,709"
"Denver-Aurora-Lakewood, CO","2,554,523","2,602,918","2,650,274","2,700,529","2,753,973","2,812,896","2,856,755","2,891,776","2,931,665","2,967,239"
"DeRidder, LA","35,831","36,090","36,333","36,260","36,239","36,531","36,973","36,847","37,369","37,497"
"Des Moines-West Des Moines, IA","608,930","618,299","626,778","637,846","649,652","659,522","671,055","681,413","690,915","699,292"
"Detroit-Warren-Dearborn, MI","4,291,508","4,291,696","4,300,864","4,305,587","4,311,194","4,309,673","4,316,260","4,321,593","4,322,084","4,319,629"
"Dickinson, ND","25,142","26,030","27,820","29,229","31,235","32,809","31,817","31,213","31,811","32,417"
"Dixon, IL","35,983","35,609","35,216","35,121","34,910","34,521","34,494","34,540","34,296","34,096"
"Dodge City, KS","34,008","34,372","34,665","34,879","34,930","34,629","34,552","34,218","33,877","33,619"
"Dothan, AL","145,871","146,621","147,448","147,449","147,830","147,992","147,784","147,878","148,249","149,358"
"Douglas, GA","51,092","51,356","51,379","51,342","51,099","51,327","51,152","51,062","51,317","51,438"
"Dover, DE","162,956","165,110","167,297","169,038","171,456","173,128","174,542","176,499","178,540","180,786"
"Dublin, GA","65,264","64,714","64,635","64,320","64,183","63,997","63,649","63,859","63,855","64,090"
"DuBois, PA","81,545","81,433","81,401","81,428","81,006","80,718","80,196","79,799","79,572","79,255"
"Dubuque, IA","93,929","94,593","95,159","95,945","96,481","96,850","96,763","97,066","96,922","97,311"
"Duluth, MN-WI","290,542","290,594","290,176","290,193","290,261","289,741","289,395","289,108","289,260","288,732"
"Dumas, TX","22,005","22,070","22,430","22,146","21,986","21,725","21,641","21,604","21,083","20,940"
"Duncan, OK","45,100","45,104","44,881","44,976","44,563","44,576","43,998","43,340","43,179","43,143"
"Durango, CO","51,411","51,866","52,451","53,368","53,865","54,687","55,316","55,563","56,299","56,221"
"Durant, OK","42,580","43,120","43,453","44,118","44,483","45,021","45,599","46,481","47,191","47,995"
"Durham-Chapel Hill, NC","566,267","572,520","581,735","590,364","599,236","607,706","618,222","625,678","637,501","644,367"
"Dyersburg, TN","38,318","38,118","38,188","38,093","37,807","37,753","37,542","37,339","37,286","37,159"
"Eagle Pass, TX","54,432","55,260","55,765","56,532","57,115","57,720","58,041","58,111","58,276","58,722"
"Easton, MD","37,879","37,947","37,986","37,896","37,517","37,413","37,135","37,033","37,074","37,181"
"East Stroudsburg, PA","169,849","169,891","168,628","167,355","167,285","166,481","166,220","167,895","169,294","170,271"
"Eau Claire, WI","161,655","162,886","163,892","164,822","165,023","165,501","166,430","167,329","168,464","169,304"
"Edwards, CO","52,099","52,051","52,334","52,816","53,276","53,865","54,541","54,929","54,943","55,127"
"Effingham, IL","34,224","34,270","34,273","34,217","34,122","34,202","34,170","34,123","34,181","34,008"
"El Campo, TX","41,281","41,287","41,136","41,122","41,095","41,383","41,609","41,837","41,499","41,556"
"El Centro, CA","174,716","175,786","176,575","176,438","177,974","178,937","180,179","181,649","181,523","181,215"
"El Dorado, AR","41,573","41,402","40,861","40,604","40,136","40,086","39,879","39,460","39,139","38,682"
"Elizabeth City, NC","54,106","53,764","53,965","53,182","52,974","52,847","52,794","52,825","52,964","53,287"
"Elizabethtown-Fort Knox, KY","149,833","151,319","151,501","152,228","151,675","148,107","148,941","150,390","153,201","153,928"
"Elk City, OK","22,061","22,308","23,070","23,468","23,596","23,554","22,427","21,779","21,720","21,859"
"Elkhart-Goshen, IN","197,451","198,279","198,968","200,205","201,423","202,995","203,642","204,194","205,617","206,341"
"Elkins, WV","29,363","29,435","29,392","29,522","29,377","29,212","29,034","28,894","28,814","28,695"
"Elko, NV","51,078","51,419","52,960","54,383","54,519","53,757","54,018","54,303","54,537","54,807"
"Ellensburg, WA","40,990","41,554","41,624","41,828","42,596","43,095","44,922","46,176","47,358","47,935"
"Elmira, NY","88,895","88,899","89,137","88,199","87,177","86,705","85,644","84,736","83,935","83,456"
"El Paso, TX","807,048","823,308","835,667","834,203","837,089","835,439","839,203","842,005","841,613","844,124"
"Emporia, KS","36,432","36,421","36,293","36,169","35,797","35,789","36,001","35,908","35,900","35,843"
"Enid, OK","60,765","60,763","61,399","62,370","62,790","63,248","62,493","61,600","61,095","61,056"
"Enterprise, AL","50,208","50,444","51,141","50,681","50,657","50,963","51,202","51,853","51,950","52,342"
"Erie, PA","280,799","281,327","281,532","280,717","279,423","278,174","276,170","273,558","271,544","269,728"
"Escanaba, MI","37,047","36,943","36,836","36,799","36,580","36,415","36,196","35,890","35,843","35,784"
"Española, NM","40,286","40,244","40,195","40,064","39,736","39,370","39,245","39,235","39,023","38,921"
"Eufaula, AL-GA","29,839","29,794","29,575","29,304","29,040","28,558","28,126","27,490","27,132","26,985"
"Eugene-Springfield, OR","351,920","354,034","355,075","355,481","358,027","361,946","368,874","375,264","378,549","382,067"
"Eureka-Arcata, CA","135,009","135,243","134,572","134,403","134,494","135,102","136,290","136,507","136,244","135,558"
"Evanston, WY","21,089","20,896","20,996","20,951","20,822","20,763","20,682","20,431","20,292","20,226"
"Evansville, IN-KY","311,802","312,698","313,422","314,331","314,859","314,983","315,283","314,791","314,660","315,086"
"Fairbanks, AK","98,264","98,120","100,311","100,933","99,254","99,636","100,633","99,675","98,565","96,849"
"Fairfield, IA","16,837","17,096","17,278","17,629","17,793","17,906","18,063","18,219","18,256","18,295"
"Fairmont, MN","20,805","20,624","20,459","20,422","20,244","20,036","19,904","19,866","19,772","19,683"
"Fairmont, WV","56,548","56,692","56,760","56,723","56,792","56,761","56,504","56,349","56,091","56,072"
"Fallon, NV","24,818","24,593","24,245","23,927","23,824","23,957","23,904","24,021","24,506","24,909"
"Fargo, ND-MN","209,455","213,222","217,610","223,360","227,790","232,891","237,244","241,511","244,311","246,145"
"Faribault-Northfield, MN","64,243","64,466","64,438","64,639","64,997","65,323","65,868","66,196","66,566","66,972"
"Farmington, MO","65,529","65,590","65,803","66,102","65,784","66,232","66,356","66,674","66,737","67,215"
"Farmington, NM","130,203","129,711","129,756","129,467","129,084","128,246","127,954","126,917","125,499","123,958"
"Fayetteville, NC","490,446","499,149","502,672","509,180","510,635","511,976","516,822","517,527","522,461","526,719"
"Fayetteville-Springdale-Rogers, AR","442,301","452,884","462,291","471,140","480,513","491,730","503,806","515,616","525,239","534,904"
"Fergus Falls, MN","57,288","57,274","57,216","57,492","57,482","57,520","57,820","58,219","58,670","58,746"
"Fernley, NV","52,045","51,385","50,971","51,090","51,334","51,974","52,707","53,895","55,813","57,510"
"Findlay, OH","74,689","74,912","75,459","75,581","75,281","75,678","75,831","75,973","75,920","75,783"
"Fitzgerald, GA","17,645","17,591","17,601","17,450","17,449","17,357","17,251","17,037","16,822","16,700"
"Flagstaff, AZ","134,612","134,275","136,146","136,699","137,566","138,962","140,407","141,001","142,523","143,476"
"Flint, MI","424,953","422,026","418,193","415,639","412,859","410,461","408,926","407,488","406,688","405,813"
"Florence, SC","205,662","205,800","206,041","205,986","206,426","206,235","205,854","205,476","205,036","204,911"
"Florence-Muscle Shoals, AL","147,261","147,146","147,232","147,230","147,462","146,876","146,922","147,259","147,608","147,970"
"Fond du Lac, WI","101,576","101,810","101,788","101,787","101,977","101,955","102,211","102,417","103,001","103,403"
"Forest City, NC","67,740","67,416","67,215","66,847","66,561","66,375","66,286","66,529","66,775","67,029"
"Forrest City, AR","28,194","27,994","27,992","27,508","27,088","26,651","26,347","25,997","25,509","24,994"
"Fort Collins, CO","300,441","305,246","310,842","316,225","324,008","333,303","338,984","344,084","350,660","356,899"
"Fort Dodge, IA","37,879","37,745","37,323","37,327","37,069","37,066","36,781","36,637","36,339","35,904"
"Fort Leonard Wood, MO","52,859","53,297","53,475","54,077","53,550","53,204","52,456","51,862","51,997","52,607"
"Fort Madison-Keokuk, IA-IL-MO","62,075","61,593","61,335","60,678","60,269","59,918","59,402","58,894","58,570","58,162"
"Fort Morgan, CO","28,241","28,452","28,248","28,223","28,103","28,252","28,199","28,295","28,769","29,068"
"Fort Payne, AL","71,163","71,365","70,944","70,912","70,993","71,087","71,104","71,437","71,407","71,513"
"Fort Polk South, LA","52,742","52,270","54,120","52,815","52,816","51,431","51,481","49,789","48,101","47,429"
"Fort Smith, AR-OK","248,344","249,236","249,491","248,569","248,220","248,820","249,170","250,231","250,298","250,368"
"Fort Wayne, IN","389,298","392,332","394,225","396,638","398,591","400,806","402,887","405,445","409,126","413,263"
"Frankfort, IN","33,221","33,034","32,890","32,766","32,462","32,373","32,207","32,195","32,192","32,399"
"Frankfort, KY","70,723","70,877","71,147","71,225","71,593","71,990","72,483","73,037","73,442","73,738"
"Fredericksburg, TX","24,874","25,039","25,175","25,363","25,473","25,916","26,206","26,483","26,702","26,988"
"Freeport, IL","47,606","47,323","46,886","46,671","46,269","45,668","45,503","44,997","44,797","44,498"
"Fremont, NE","36,673","36,930","36,590","36,497","36,614","36,567","36,677","36,789","36,725","36,565"
"Fremont, OH","60,885","60,609","60,467","60,049","59,827","59,475","59,317","59,093","58,740","58,518"
"Fresno, CA","932,039","939,406","945,045","951,514","960,567","969,488","976,830","985,238","991,950","999,101"
"Gadsden, AL","104,459","104,369","104,278","103,884","103,399","102,998","102,855","103,007","102,611","102,268"
"Gaffney, SC","55,535","55,705","55,822","56,056","56,351","56,512","56,683","56,913","57,069","57,300"
"Gainesville, FL","305,334","306,979","308,240","308,865","311,743","316,031","321,418","324,485","327,933","329,128"
"Gainesville, GA","180,033","182,269","184,102","186,431","189,142","192,245","196,159","198,953","201,538","204,441"
"Gainesville, TX","38,472","38,443","38,717","38,456","38,764","39,170","39,343","39,932","40,504","41,257"
"Galesburg, IL","52,912","52,705","52,302","52,129","51,944","51,370","50,917","50,577","49,978","49,699"
"Gallup, NM","71,673","72,332","72,365","72,665","72,796","73,462","73,028","72,423","71,911","71,367"
"Garden City, KS","40,954","41,073","41,081","40,985","41,057","41,077","40,775","40,655","40,469","40,305"
"Gardnerville Ranchos, NV","47,037","46,971","46,910","46,935","47,373","47,404","47,834","48,030","48,489","48,905"
"Georgetown, SC","60,327","60,173","60,232","60,476","60,825","61,456","61,565","61,826","62,232","62,680"
"Gettysburg, PA","101,479","101,474","101,254","101,137","101,353","101,808","101,911","102,562","103,062","103,009"
"Gillette, WY","60,561","60,810","62,077","62,323","62,502","63,901","63,464","60,767","60,668","60,852"
"Glasgow, KY","52,263","52,391","52,590","52,897","53,031","53,471","53,783","53,839","54,185","54,320"
"Glens Falls, NY","129,021","128,827","128,420","127,848","127,341","126,666","126,233","125,924","125,489","125,148"
"Glenwood Springs, CO","73,226","73,217","74,053","74,398","74,873","75,638","76,760","77,005","77,677","77,828"
"Gloversville, NY","55,455","55,112","54,845","54,345","53,932","53,801","53,610","53,802","53,633","53,383"
"Goldsboro, NC","122,886","124,038","124,559","124,587","124,586","124,342","124,269","123,034","123,237","123,131"
"Granbury, TX","51,268","51,563","52,129","52,860","53,812","55,227","56,569","57,973","60,177","61,643"
"Grand Forks, ND-MN","98,633","98,194","99,093","100,741","101,260","101,849","102,171","102,126","101,766","100,815"
"Grand Island, NE","72,936","73,547","74,238","74,652","75,240","75,319","75,598","75,456","75,476","75,553"
"Grand Junction, CO","146,259","147,174","147,317","147,175","147,113","148,025","149,736","151,170","152,951","154,210"
"Grand Rapids, MN","45,037","45,105","45,152","45,335","45,328","45,267","45,168","45,088","45,051","45,130"
"Grand Rapids-Kentwood, MI","994,262","1,002,556","1,013,655","1,025,473","1,036,234","1,044,842","1,054,710","1,063,670","1,071,370","1,077,370"
"Grants, NM","27,315","27,489","27,418","27,414","27,155","27,044","27,049","26,921","26,766","26,675"
"Grants Pass, OR","82,879","82,702","82,755","83,131","83,377","84,528","85,504","86,584","87,150","87,487"
"Great Bend, KS","27,675","27,697","27,520","27,443","27,334","27,159","26,878","26,394","26,057","25,779"
"Great Falls, MT","81,507","81,714","81,622","82,194","82,056","81,878","81,562","81,633","81,688","81,366"
"Greeley, CO","254,207","258,827","264,131","270,165","277,112","285,819","295,712","305,885","314,815","324,492"
"Green Bay, WI","306,754","308,613","310,605","311,947","314,003","315,652","317,369","319,694","321,384","322,906"
"Greeneville, TN","68,834","69,173","68,760","68,336","68,464","68,586","68,529","68,821","69,164","69,069"
"Greensboro-High Point, NC","725,264","730,095","735,475","740,604","746,497","751,285","758,635","762,071","766,473","771,851"
"Greensburg, IN","25,798","25,902","26,043","26,236","26,416","26,339","26,565","26,620","26,725","26,559"
"Greenville, MS","51,097","50,455","50,019","49,661","49,008","47,959","47,183","46,197","45,036","43,909"
"Greenville, NC","168,863","170,791","172,980","174,380","174,974","176,071","177,171","178,607","179,575","180,742"
"Greenville, OH","52,963","52,653","52,515","52,306","52,184","51,981","51,624","51,549","51,299","51,113"
"Greenville-Anderson, SC","825,625","833,220","840,903","848,417","860,285","872,521","884,327","895,357","907,028","920,477"
"Greenwood, MS","43,020","42,500","41,193","41,069","40,942","40,444","39,965","39,386","38,536","38,130"
"Greenwood, SC","69,766","69,848","69,958","69,823","69,670","69,962","70,188","70,496","70,597","70,811"
"Grenada, MS","21,835","21,603","21,614","21,529","21,596","21,444","21,219","21,037","20,984","20,758"
"Guayama, PR","84,057","82,811","82,192","81,430","80,239","78,963","77,613","75,882","72,738","72,914"
"Gulfport-Biloxi, MS","389,324","393,744","396,803","399,940","403,841","406,604","408,865","412,754","414,686","417,665"
"Guymon, OK","20,802","21,258","21,594","22,048","21,738","21,446","21,183","20,924","20,491","19,983"
"Hagerstown-Martinsburg, MD-WV","269,833","271,983","273,429","274,926","276,755","278,236","280,717","282,958","285,722","288,104"
"Hailey, ID","22,411","22,198","22,212","22,368","22,509","22,706","23,144","23,469","23,892","24,127"
"Hammond, LA","121,485","122,700","123,646","125,520","127,010","128,716","130,619","132,353","133,837","134,758"
"Hanford-Corcoran, CA","152,370","151,868","150,991","150,337","149,495","150,085","149,382","149,665","151,382","152,940"
"Hannibal, MO","38,980","39,061","38,972","38,933","39,042","38,866","38,919","38,811","38,774","38,839"
"Harrisburg-Carlisle, PA","550,088","552,280","555,057","558,139","561,164","564,678","567,510","570,784","574,149","577,941"
"Harrison, AR","45,197","45,337","45,385","45,370","44,983","44,965","45,107","45,274","45,185","45,185"
"Harrisonburg, VA","125,401","126,796","128,449","128,956","130,420","131,120","132,909","134,041","134,749","134,964"
"Hartford-East Hartford-Middletown, CT","1,214,091","1,216,088","1,215,307","1,214,785","1,213,886","1,211,748","1,208,595","1,207,027","1,206,139","1,204,877"
"Hastings, NE","31,328","31,204","31,345","31,527","31,389","31,567","31,683","31,808","31,514","31,363"
"Hattiesburg, MS","162,856","164,801","165,994","166,971","167,179","167,873","168,158","167,719","168,292","168,849"
"Hays, KS","28,424","28,765","29,089","29,030","28,963","28,999","28,942","28,735","28,646","28,553"
"Heber, UT","60,144","61,829","63,208","65,004","66,927","68,758","70,887","73,220","74,957","76,236"
"Helena, MT","74,984","75,647","76,054","76,689","77,205","77,797","78,673","79,771","80,716","81,653"
"Helena-West Helena, AR","21,676","21,406","20,736","20,437","19,952","19,546","19,050","18,599","18,054","17,782"
"Henderson, NC","45,289","45,288","45,093","44,491","44,517","44,459","44,485","44,281","44,635","44,535"
"Hereford, TX","19,467","19,522","19,373","19,180","19,123","18,825","18,846","18,753","18,711","18,546"
"Hermiston-Pendleton, OR","87,303","88,030","88,229","88,071","87,780","87,597","87,908","88,318","88,781","89,553"
"Hickory-Lenoir-Morganton, NC","365,565","364,478","363,670","363,379","363,035","363,346","364,798","367,085","368,449","369,711"
"Hillsdale, MI","46,648","46,599","46,267","46,131","45,930","45,883","45,773","45,820","45,702","45,605"
"Hilo, HI","185,363","187,079","189,161","191,459","193,711","195,975","198,316","199,981","201,509","201,513"
"Hilton Head Island-Bluffton, SC","187,777","189,330","193,145","197,292","201,725","207,256","211,269","215,019","218,023","222,195"
"Hinesville, GA","77,339","80,267","80,406","78,825","81,120","79,269","79,845","80,399","79,697","80,994"
"Hobbs, NM","64,598","65,126","66,362","68,613","70,165","71,476","70,249","69,046","69,543","71,070"
"Holland, MI","111,523","111,163","111,499","112,009","113,349","114,112","114,979","116,368","117,173","118,081"
"Homosassa Springs, FL","141,173","139,764","139,180","138,829","138,828","140,287","142,804","145,415","147,682","149,657"
"Hood River, OR","22,445","22,442","22,548","22,577","22,675","22,927","23,070","23,398","23,267","23,382"
"Hope, AR","31,593","31,496","31,253","31,192","30,971","30,593","30,410","30,185","29,993","29,784"
"Hot Springs, AR","96,067","96,854","96,986","97,654","97,758","97,814","98,282","98,327","98,966","99,386"
"Houghton, MI","38,899","38,959","38,913","38,818","38,643","38,351","38,438","38,283","38,033","37,800"
"Houma-Thibodaux, LA","208,251","208,713","208,885","209,983","211,368","212,131","211,512","209,946","209,144","208,075"
"Houston-The Woodlands-Sugar Land, TX","5,947,236","6,056,193","6,183,531","6,328,208","6,500,199","6,671,808","6,806,503","6,900,090","6,976,147","7,066,141"
"Hudson, NY","63,036","62,528","62,449","62,170","61,942","61,434","60,835","60,338","59,785","59,461"
"Huntingdon, PA","45,994","46,006","45,938","45,840","45,736","45,499","45,380","45,429","45,395","45,144"
"Huntington, IN","37,117","37,167","36,979","36,777","36,609","36,518","36,294","36,222","36,243","36,520"
"Huntington-Ashland, WV-KY-OH","371,065","371,126","370,972","370,179","368,938","367,224","365,020","361,970","359,069","355,873"
"Huntsville, AL","419,276","425,122","430,056","435,541","440,395","444,542","449,576","455,892","463,181","471,824"
"Huntsville, TX","68,241","68,409","68,609","69,404","70,076","70,836","71,845","72,816","73,136","72,971"
"Huron, SD","19,497","19,782","20,048","20,271","20,096","20,145","20,196","20,565","20,449","20,466"
"Hutchinson, KS","64,552","64,429","64,205","64,079","63,701","63,596","63,184","62,714","62,331","61,998"
"Hutchinson, MN","36,589","36,343","35,933","35,900","35,775","35,814","35,749","35,876","35,827","35,893"
"Idaho Falls, ID","133,813","134,959","136,165","136,840","137,838","139,542","142,520","145,512","148,436","151,530"
"Indiana, PA","88,862","88,626","88,216","88,140","87,417","86,747","85,155","84,743","84,441","84,073"
"Indianapolis-Carmel-Anderson, IN","1,892,640","1,910,719","1,929,678","1,953,600","1,971,006","1,986,119","2,006,760","2,027,584","2,052,368","2,074,537"
"Indianola, MS","28,981","28,521","28,407","27,906","27,405","26,877","26,493","26,142","26,211","25,110"
"Iowa City, IA","153,025","155,908","159,006","162,095","164,759","167,088","169,054","171,529","172,607","173,105"
"Iron Mountain, MI-WI","30,556","30,450","30,538","30,398","30,242","29,999","29,812","29,759","29,665","29,534"
"Ithaca, NY","101,740","101,821","102,726","103,553","103,391","103,006","102,942","102,664","102,419","102,180"
"Jackson, MI","160,109","159,658","159,962","159,628","159,421","159,264","158,277","158,563","158,566","158,510"
"Jackson, MS","588,272","593,409","595,585","596,325","597,357","597,928","599,170","599,358","597,376","594,806"
"Jackson, OH","33,248","33,124","32,869","32,801","32,761","32,559","32,528","32,386","32,366","32,413"
"Jackson, TN","179,762","179,692","179,857","179,836","179,358","178,607","178,306","178,336","178,315","178,644"
"Jackson, WY-ID","31,447","31,575","31,749","32,714","33,209","33,772","34,399","34,829","34,920","35,606"
"Jacksonville, FL","1,348,907","1,361,972","1,377,607","1,393,432","1,416,446","1,444,638","1,476,023","1,505,033","1,532,663","1,559,514"
"Jacksonville, IL","40,830","40,710","40,604","40,211","39,843","39,783","39,684","39,228","38,954","38,609"
"Jacksonville, NC","186,892","184,993","190,678","192,354","191,822","193,114","192,314","195,066","196,915","197,938"
"Jacksonville, TX","50,941","51,090","51,277","51,093","51,189","51,568","51,879","52,116","52,381","52,646"
"Jamestown, ND","21,137","21,021","20,978","21,082","21,120","21,047","21,068","21,132","20,875","20,704"
"Jamestown-Dunkirk-Fredonia, NY","134,725","134,209","133,304","132,852","131,751","130,529","129,206","128,372","127,472","126,903"
"Janesville-Beloit, WI","160,260","159,867","160,065","160,341","160,920","161,006","161,320","162,205","162,874","163,354"
"Jasper, AL","66,997","66,585","66,104","65,777","65,338","64,931","64,533","63,895","63,669","63,521"
"Jasper, IN","54,625","54,758","54,701","54,770","54,787","54,724","54,841","54,853","55,062","55,125"
"Jayuya, PR","16,630","16,409","16,148","15,912","15,642","15,291","15,000","14,585","13,929","13,891"
"Jefferson, GA","60,696","60,974","60,844","61,268","62,101","63,418","65,061","67,644","70,325","72,977"
"Jefferson City, MO","149,991","150,413","150,391","150,669","150,727","150,928","151,375","151,319","151,512","151,235"
"Jennings, LA","31,632","31,592","31,445","31,295","31,447","31,431","31,388","31,480","31,537","31,368"
"Jesup, GA","30,074","30,294","30,320","29,990","29,891","29,430","29,974","29,797","29,810","29,927"
"Johnson City, TN","199,010","199,574","200,473","200,470","200,021","200,331","201,457","201,909","202,900","203,649"
"Johnstown, PA","143,461","142,579","141,536","138,826","137,537","136,028","134,414","132,960","131,449","130,192"
"Jonesboro, AR","121,263","122,854","124,292","125,840","126,813","128,459","129,906","131,259","132,719","133,860"
"Joplin, MO","175,833","173,846","174,407","175,144","175,869","176,686","177,397","178,239","178,613","179,564"
"Juneau, AK","31,387","32,161","32,384","32,594","32,481","32,615","32,412","32,098","32,037","31,974"
"Kahului-Wailuku-Lahaina, HI","155,020","156,936","158,889","161,004","163,036","163,904","165,350","166,146","166,972","167,417"
"Kalamazoo-Portage, MI","250,751","252,600","255,353","257,311","258,951","259,676","261,304","262,998","264,680","265,066"
"Kalispell, MT","90,864","91,270","91,597","92,935","94,567","95,839","97,742","100,091","102,017","103,806"
"Kankakee, IL","113,418","113,519","112,974","112,735","111,883","111,750","111,080","110,540","109,953","109,862"
"Kansas City, MO-KS","2,013,361","2,025,490","2,038,586","2,053,850","2,069,182","2,085,913","2,107,066","2,127,203","2,144,427","2,157,990"
"Kapaa, HI","67,205","67,888","68,671","69,632","70,288","71,021","71,537","71,827","72,168","72,293"
"Kearney, NE","52,652","53,371","54,145","54,485","54,787","55,136","55,665","55,842","55,891","56,154"
"Keene, NH","77,058","76,933","76,902","76,712","76,426","76,288","75,975","75,963","75,901","76,085"
"Kendallville, IN","47,454","47,294","47,190","47,240","47,367","47,515","47,398","47,329","47,543","47,744"
"Kennett, MO","31,950","32,010","31,841","31,724","31,303","30,844","30,562","30,121","29,478","29,131"
"Kennewick-Richland, WA","255,542","263,487","268,071","270,766","274,154","278,945","283,693","290,096","295,289","299,612"
"Kerrville, TX","49,643","49,641","49,719","49,787","50,343","50,880","51,426","51,892","52,415","52,600"
"Ketchikan, AK","13,573","13,674","13,729","13,722","13,802","13,702","13,707","13,834","13,856","13,901"
"Key West, FL","73,220","73,967","74,560","75,813","76,261","76,648","76,872","76,483","74,757","74,228"
"Kill Devil Hills, NC","33,982","34,156","34,383","34,810","34,894","35,468","35,829","36,199","36,607","37,009"
"Killeen-Temple, TX","408,262","412,348","423,475","423,931","426,421","432,583","436,421","442,998","451,272","460,303"
"Kingsport-Bristol, TN-VA","309,480","309,098","308,623","307,811","307,198","306,279","306,017","306,496","306,736","307,202"
"Kingston, NY","182,418","182,448","181,538","180,698","180,400","179,658","179,042","178,635","178,418","177,573"
"Kingsville, TX","32,454","32,467","32,544","32,459","32,328","31,854","31,740","31,179","31,159","31,084"
"Kinston, NC","59,488","59,411","59,114","58,732","58,255","57,981","57,240","56,622","55,990","55,949"
"Kirksville, MO","30,066","30,046","30,062","30,073","29,913","29,853","29,745","29,947","30,070","30,003"
"Klamath Falls, OR","66,322","66,308","65,909","65,682","65,280","65,670","66,198","66,810","67,687","68,238"
"Knoxville, TN","815,984","820,702","825,007","829,017","832,928","837,818","844,942","853,645","861,234","869,046"
"Kokomo, IN","82,752","82,797","82,839","82,738","82,605","82,338","82,304","82,210","82,257","82,544"
"Laconia, NH","60,101","60,335","60,438","60,235","60,285","60,370","60,747","60,872","61,145","61,303"
"La Crosse-Onalaska, WI-MN","133,897","134,106","135,307","135,655","136,140","136,385","136,384","136,710","136,613","136,616"
"Lafayette, LA","467,612","470,935","474,205","479,794","484,876","489,507","490,877","490,299","489,680","489,207"
"Lafayette-West Lafayette, IN","210,687","213,230","216,449","219,183","221,445","223,573","227,088","228,101","230,938","233,002"
"La Grande, OR","25,731","25,909","25,802","25,526","25,637","25,703","26,061","26,383","26,701","26,835"
"LaGrange, GA-AL","101,176","101,662","102,386","102,940","103,255","103,591","103,684","103,769","103,678","103,176"
